user_id,match_ids
102,9;23;93;101;272;445
103,9;94;200;278;362;382
104,123;165;173;226;372;407
105,17;167;172;173;223;291
106,18;119;120;205;269;289
107,183;217;267;291;304;446
108,8;100;168;257;383;444
109,96;132;186;248;472;493
110,55;275;277;302;408;498
111,195;261;293;323;324;365
112,164;227;339;369;374;454
113,49;66;428;461;462;491
114,133;256;261;277;406;408
115,116;264;265;448;449;483
116,52;115;166;264;265;448
117,4;265;399;401;447;462
118,13;185;200;207;250;478
119,18;42;121;178;190;205
120,82;95;98;106;257;289
121,24;178;328;388;426;427
122,16;130;172;193;202;205
123,16;104;226;266;372;407
124,158;198;225;301;387;401
125,12;65;224;266;288;494
126,43;188;316;455;474;498
127,29;128;157;180;398;469
128,20;127;333;380;480;485
129,139;177;198;455;458;460
130,79;122;134;168;206;489
131,86;147;276;322;370;495
132,109;186;248;325;376;493
133,2;145;256;324;367;406
134,1;130;206;379;429;489
135,3;4;6;30;166;449
136,77;146;358;370;471;475
137,208;210;213;215;267;324
138,14;42;160;392;444;457
139,15;28;129;172;191;410
140,33;73;74;83;87;359
141,2;229;230;233;480;488
142,71;73;143;350;355;356
143,142;350;351;356;364;371
144,55;56;270;312;422;431
145,2;84;133;299;351;357
146,136;298;358;370;471;475
147,32;86;131;194;276;495
148,132;232;325;357;411;467
149,194;277;285;366;411;495
150,43;144;231;354;463;498
151,2;96;141;344;354;371
152,145;259;282;332;403;429
153,76;84;413;414;423;465
154,42;92;202;241;303;376
155,20;179;279;335;398;468
156,23;41;102;130;256;500
157,10;29;127;162;395;402
158,104;156;242;254;439;443
159,239;403;411;436;437;442
160,14;138;294;393;394;457
161,66;70;223;329;381;491
162,8;26;157;168;389;469
163,56;170;290;342;384;453
164,9;112;240;272;445;446
165,10;22;23;251;271;313
166,3;49;60;116;264;452
167,17;70;81;105;223;319
168,12;108;130;162;255;383
169,14;138;192;279;444;457
170,82;163;196;199;342;384
171,7;27;91;260;396;400
172,105;139;174;319;337;397
173,187;219;254;309;416;440
174,62;93;139;172;240;280
175,130;412;416;419;421;424
176,234;262;295;319;458;459
177,17;129;158;262;293;455
178,24;119;121;328;426;427
179,24;382;403;430;481;483
180,127;239;280;320;344;485
181,1;41;310;332;480;488
182,44;46;183;305;306;451
183,15;97;107;182;217;304
184,61;63;220;238;278;361
185,57;58;118;415;418;478
186,109;132;248;299;472;493
187,26;127;183;304;469;500
188,58;126;270;284;331;362
189,34;262;323;380;442;463
190,42;119;234;268;315;338
191,48;139;240;300;397;500
192,169;268;291;337;346;410
193,4;51;134;286;363;417
194,21;78;147;149;285;470
195,111;227;244;259;263;293
196,82;94;170;250;289;407
197,78;84;147;237;364;464
198,53;124;129;225;301;327
199,82;164;170;291;363;368
200,9;82;103;118;196;386
201,45;57;58;59;386;415
202,209;311;312;313;440;441
203,40;50;88;281;308;350
204,231;324;366;417;474;495
205,18;95;100;106;119;122
206,37;134;283;307;379;489
207,118;250;269;386;418;478
208,137;210;212;213;215;252
209,211;212;213;214;252;338
210,137;208;215;252;267;304
211,137;209;213;247;338;369
212,137;208;209;211;213;252
213,137;208;209;211;212;252
214,50;109;209;252;275;321
215,88;137;208;210;216;267
216,90;107;210;215;242;379
217,15;48;66;97;191;304
218,62;248;285;317;373;375
219,128;192;333;452;477;482
220,15;63;93;99;184;454
221,99;287;311;326;490;499
222,13;67;185;242;271;287
223,70;81;105;161;329;491
224,12;61;66;288;454;494
225,124;159;198;292;387;456
226,68;94;123;363;407;450
227,112;195;268;288;346;442
228,52;60;233;424;480;488
229,141;255;444;480;485;488
230,31;87;197;359;409;414
231,144;150;204;366;367;495
232,148;357;371;376;409;467
233,45;68;156;174;251;416
